Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Social Services,"311 Summer 2012, 10019",Social-Services/311-Summer-2012-10019/m2t3-npra,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Chris,http://data.cityofnewyork.us/api/users/3c2b-rx7i,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,"311 in 10019, summer 2012",Social-Services/311-in-10019-summer-2012/rbiv-2rsz,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Chris,http://data.cityofnewyork.us/api/users/3c2b-rx7i,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Snow 2,Social-Services/Snow-2/s73x-4r9p,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Jane,http://data.cityofnewyork.us/api/users/gkb6-in7z,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,queens_potholes,Social-Services/queens_potholes/sa3i-xbm2,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,tmacdonald,http://data.cityofnewyork.us/api/users/nsgc-ydz4,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,duna,Social-Services/duna/udu8-jxy7,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,nikkor,http://data.cityofnewyork.us/api/users/32wp-anz8,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
City Government,DOP Adult Investigations by Calendar Year,City-Government/DOP-Adult-Investigations-by-Calendar-Year/k659-gwja,Department of Probation (DOP),"The number of presentence investigation reports ordered for adults during the reporting period, categorized by conviction type: felony and misdemeanor.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dop, investigations, calendar year, adult"
City Government,Council Members,City-Government/Council-Members/uvw5-9znb,City Council (NYCC),This list contains information on Council Members,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"council members, city council, districts"
City Government,Miscellaneous Structures,City-Government/Miscellaneous-Structures/nuwu-59ur,Department of Information Technology & Telecommunications (DoITT),Miscellaneous Structures,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"doitt gis, doittgis, miscellaneous structures"
Environment,Hose Nozzle And Sprayer Survey,Environment/Hose-Nozzle-And-Sprayer-Survey/ijru-c88e,Department of Environmental Protection (DEP),List of hose nozzles and sprayers that meet the requirements during a drought emergency.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dep, department of environmental protection, environment, hose nozzle, sprayer, drought, emergency, hose nozzle and sprayer survey, healthy living"
Education,English Language Arts (ELA) Test Results 2006-2012 - District - Gender,Education/English-Language-Arts-ELA-Test-Results-2006-2012-D/49kg-8sce,Department of Education (DOE),Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by district and gender.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"english language arts, ela test, grade, district, lifelong learning"
Transportation,Municipal Parking Facilities (Staten Island),Transportation/Municipal-Parking-Facilities-Staten-Island-/udt3-taj7,Department of Transportation (DOT),RSS Feed displaying municipal parking facilities in Staten Island,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,clean web
Public Safety,Disposition Of Force Allegations 2009,Public-Safety/Disposition-Of-Force-Allegations-2009/qwi9-6tzj,Civilian Complaint Review Board (CCRB),CCRB: Disposition of Force Allegations 2009,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation, misconduct"
City Government,Brooklyn 2009 TC Reductions,City-Government/Brooklyn-2009-TC-Reductions/vrex-7fqn,New York City Tax Commission (TAXCOMM),Tax Commission Actions on Applications in year 2009 Reducing Assessments or Reclassifying Property.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"2009, tax, commission, apply, application, assess, reclassify, reduce, reduction, reclassified, property, action"
City Government,Parking Violations 2014,City-Government/Parking-Violations-2014/cbmj-5ufe,Department of Finance (DOF),Parking violations issued by the City of New York.,seenigel,http://data.cityofnewyork.us/api/users/sx9j-s7ux,"finance, dof, stars, ticket, violation, summons, parking ticket"
Education,NYC School Survey - 2007,Education/NYC-School-Survey-2007/fupk-24im,Department of Education (DOE),"Every year since 2007, all parents, all teachers, and students take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 

Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

Approximately 600,000 New Yorkers participated in the survey in 2007. 216,914 parents, 31,592 teachers, and 338,201 students submitted surveys and contributed feedback to their schools.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
Education,2006-07 Class Size - Citywide Summary,Education/2006-07-Class-Size-Citywide-Summary/w49k-mmkh,Department of Education (DOE),"Citywide Average Class Size Report Summary including Program and Grade or Service Category.

SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered

For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 

The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 

The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, “cluster” teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
Education,2006-07 Class Size - By Region,Education/2006-07-Class-Size-By-Region/weaz-wxw9,Department of Education (DOE),"Citywide Class Size Report, including Region, Program, Grade or Service Category.

SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered

For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 

The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 

The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, “cluster” teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
Education,English Language Arts (ELA) Test Results 2006-2012 - Borough - Ethnicity,Education/English-Language-Arts-ELA-Test-Results-2006-2012-B/s5q4-7ezf,Department of Education (DOE),Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by borough and student ethnicity.,Aakash Dalwani,http://data.cityofnewyork.us/api/users/ya7g-926w,"english language arts, ela test, grade, borough, ethnicity, lifelong learning"
Health,Violation Code vs. Score for Manhattan Grade B,Health/Violation-Code-vs-Score-for-Manhattan-Grade-B/e5ac-xsvb,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",Leon,http://data.cityofnewyork.us/api/users/d387-mnr5,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Social Services,Upper East Side/Gramercy Zip Codes,Social-Services/Upper-East-Side-Gramercy-Zip-Codes/3rdr-i7gw,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Livia,http://data.cityofnewyork.us/api/users/x7i2-b4xh,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Upper West Side Zip Codes,Social-Services/Upper-West-Side-Zip-Codes/4qnd-4h22,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Livia,http://data.cityofnewyork.us/api/users/x7i2-b4xh,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,CB6 - 311 Master Data,Social-Services/CB6-311-Master-Data/axqc-tziz,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,MichaelPCapik,http://data.cityofnewyork.us/api/users/n6se-tpgd,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,SuttonPlace_Noise,Social-Services/SuttonPlace_Noise/b9cw-jduy,311,NYC Noise complaints for 2012,monicaway,http://data.cityofnewyork.us/api/users/tgyy-r8ze,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,Derelict Bicycle,Social-Services/Derelict-Bicycle/ddkr-b442,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,davidmooreppf,http://data.cityofnewyork.us/api/users/2xt2-38jt,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Bar Noise at 26-10 Hoyt Ave South,Social-Services/Bar-Noise-at-26-10-Hoyt-Ave-South/in25-zb8a,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,rogerbix,http://data.cityofnewyork.us/api/users/2v55-zh4u,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Taxi Driver Complaints,Social-Services/Taxi-Driver-Complaints/mzjy-amw2,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Caroline Carney,http://data.cityofnewyork.us/api/users/eegf-8sdr,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Complaints (all by date & zip),Social-Services/Complaints-all-by-date-zip-/pq25-vtyu,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Po,http://data.cityofnewyork.us/api/users/vj8g-bzpg,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Borough Park zip codes - 2010,Social-Services/Borough-Park-zip-codes-2010/sc8v-n4th,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Livia,http://data.cityofnewyork.us/api/users/x7i2-b4xh,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
NYC BigApps,Vehicle Collisions Injury and Death Numbers,NYC-BigApps/Vehicle-Collisions-Injury-and-Death-Numbers/tjhe-mab9,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Emily Burkett,http://data.cityofnewyork.us/api/users/b58q-2pxq,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
Education,English Language Arts (ELA) Test Results 2006-2012 - School - Gender,Education/English-Language-Arts-ELA-Test-Results-2006-2012-S/yuzm-c784,Department of Education (DOE),Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by school and student gender.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"english language arts, ela test, grade, school, lifelong learning"
Housing & Development,HPD Developer Selection Element,Housing-Development/HPD-Developer-Selection-Element/fged-sxa8,Department of Housing Preservation and Development (HPD),Information on how the developer was selected for each project.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"department of housing preservation and development, hpd, developer selection"
Health,test,Health/test/gghu-5zs5,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",Katherine,http://data.cityofnewyork.us/api/users/sqb9-r8n6,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Social Services,37-58,Social-Services/37-58/4up4-hpn7,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,queensrentco,http://data.cityofnewyork.us/api/users/vimi-ausc,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,NYC Housing Complaints - FINAL i good,Social-Services/NYC-Housing-Complaints-FINAL-i-good/9zpy-tjz6,311,All 311 Service Requests from 2010 to mid-February 2012.,jpbData,http://data.cityofnewyork.us/api/users/6sye-8pzu,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,Top 7 2010-present,Social-Services/Top-7-2010-present/be2f-eak7,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,SigmaMonster,http://data.cityofnewyork.us/api/users/7k5m-iwqn,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Bronx 311 Dept. of Housing Preservation and Development,Social-Services/Bronx-311-Dept-of-Housing-Preservation-and-Develop/dsqm-5h92,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,cpbride,http://data.cityofnewyork.us/api/users/v4c9-bc9b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,NOISE,Social-Services/NOISE/hadb-w5xa,311,NYC Noise complaints for 2012,siguzman,http://data.cityofnewyork.us/api/users/atfe-iudx,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,Manhattan Noise Complaints,Social-Services/Manhattan-Noise-Complaints/hmvf-aphy,311,NYC Noise complaints for 2012,mkalebic,http://data.cityofnewyork.us/api/users/hrbg-5aar,"311, 311 service requests, 2010, 2011, service request status, all service requests, ksell, sell"
Social Services,"Right """,Social-Services/Right-/hry3-yhjr,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Arnold,http://data.cityofnewyork.us/api/users/cazy-nmew,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,HPDNov1toToday,Social-Services/HPDNov1toToday/kt4y-ew9m,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,bnyworld,http://data.cityofnewyork.us/api/users/3f6b-zdxp,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,test1,Social-Services/test1/yk3a-qyjt,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Cindy,http://data.cityofnewyork.us/api/users/ggmx-kdbx,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
NYC BigApps,Downtown Brooklyn Collisions,NYC-BigApps/Downtown-Brooklyn-Collisions/6gw2-ntzd,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Paul Salama,http://data.cityofnewyork.us/api/users/3rii-qmuu,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
NYC BigApps,Staten Island collisions,NYC-BigApps/Staten-Island-collisions/bfpf-5z8d,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Terri,http://data.cityofnewyork.us/api/users/tb4g-jvup,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
NYC BigApps,2015 InjFat Data,NYC-BigApps/2015-InjFat-Data/snqr-pc5i,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Serena,http://data.cityofnewyork.us/api/users/4rxv-tve7,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
City Government,NYC Address Points,City-Government/NYC-Address-Points/g6pj-hd8k,Department of Information Technology and Telecommunications (DoITT),NYC Address Points,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"yc address points, doitt, gis, map, doitt gis"
Transportation,Asset Map,Transportation/Asset-Map/cxxr-934j,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,patrick_bates,http://data.cityofnewyork.us/api/users/9cqg-3cs7,
Transportation,"14th St 6th Ave (B,D,F,M)",Transportation/14th-St-6th-Ave-B-D-F-M-/tyun-egg8,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,Nancy Nizza,http://data.cityofnewyork.us/api/users/4ite-q8ir,
City Government,2005 Campaign Payments,City-Government/2005-Campaign-Payments/9mjx-v8ip,Campaign Finance Board (CFB),A listing of campaign public funds payments for candidates for City office during the 2005 election cycle,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding"
City Government,List Of Cases Filed By Type At OATH,City-Government/List-Of-Cases-Filed-By-Type-At-OATH/s7vy-wmm7,Office of Administrative Trials and Hearings (OATH),"This is the list of cases filed by type, the break down of case type is listed as percentage value",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"oath, office of administrative trials and hearings, cases"
Public Safety,CCRB: Assignment of Officers against Whom Allegations Were Substantiated - Patrol Borough Queens South 2005 - 2009,Public-Safety/CCRB-Assignment-of-Officers-against-Whom-Allegatio/c2v8-zzjq,Civilian Complaint Review Board (CCRB),"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009
Update Schedule: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"complaint, civilian, review, board, activity, crime, year, age, demographics 2005, 2006, 2007, 2008, 2009, docket, incident, report, substantiation, substantiated, victim, ccrb, officer, assignment, bureau"
Health,Boro Restaurant Grades,Health/Boro-Restaurant-Grades/uvvk-ab5b,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",Monica_M.,http://data.cityofnewyork.us/api/users/e88p-zik2,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Social Services,10029,Social-Services/10029/899e-rcxz,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Livia,http://data.cityofnewyork.us/api/users/x7i2-b4xh,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311 Service Requests from 2012 to Present (28_02_2014),Social-Services/311-Service-Requests-from-2012-to-Present-28_02_20/jiz8-umpp,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Fennie,http://data.cityofnewyork.us/api/users/qix4-rxs5,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,12/9-12/15,Social-Services/12-9-12-15/t53y-djtq,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,mawarner07,http://data.cityofnewyork.us/api/users/wu8u-ke97,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Housing & Development,DOB Complaints: Illegal Conversions heat map,Housing-Development/DOB-Complaints-Illegal-Conversions-heat-map/vc9k-jv8r,311,All DOB 311 Service Request from 2010 to Present.,J S Adams,http://data.cityofnewyork.us/api/users/q8qx-xr4j,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,march2012_May2012,Social-Services/march2012_May2012/wfz3-8beg,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,mdiscenza,http://data.cityofnewyork.us/api/users/javh-dxyw,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,hpd oct,Social-Services/hpd-oct/wgwt-h7zx,311,All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,SJGraboski,http://data.cityofnewyork.us/api/users/b6c3-gnce,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,311 important columns,Social-Services/311-important-columns/wz7x-gr8c,311,All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.,Ben H Sacks,http://data.cityofnewyork.us/api/users/xgni-s9pb,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,aesha,Social-Services/aesha/x56s-ixia,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Aesha,http://data.cityofnewyork.us/api/users/9cej-9qe7,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
NYC BigApps,CrossStreetCOL,NYC-BigApps/CrossStreetCOL/ntbt-yreq,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Dan Zweig,http://data.cityofnewyork.us/api/users/jtpn-pdgf,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
Transportation,subways,Transportation/subways/xi82-gydy,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,Amelia,http://data.cityofnewyork.us/api/users/e7pk-r97h,
Transportation,6/24/13,Transportation/6-24-13/rmc9-k3s8,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion drivers who are authorized to operate NYC TLC licensed Taxicabs.,carrie,http://data.cityofnewyork.us/api/users/irra-ffx5,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Education,English Language Arts (ELA) Test Results by Grade 2006-2011 - School level - by Race-Ethnicity,Education/English-Language-Arts-ELA-Test-Results-by-Grade-20/g8e6-y4ax,Department of Education (DOE),"New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
Housing & Development,"DOF: Summary of Neighborhood Sales Citywide for Class 1-, 2- and 3-Family homes - 2007",Housing-Development/DOF-Summary-of-Neighborhood-Sales-Citywide-for-Cla/hdu7-ujt4,Department of Finance (DOF),"The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of all neighborhood sales for Class 1-, 2- and 3-Family homes Citywide in 2007.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2007 to December 31, 2007, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale.
Update Frequency: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"department of finance, finance, dof, property, properties, neighborhoods, sales, neighborhood sales, homes, family homes, class-1, class-2, class-3, borough, citywide"
Social Services,nypd_DS,Social-Services/nypd_DS/3ckw-3n35,311,All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,ps,http://data.cityofnewyork.us/api/users/6bpt-ecdc,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Social Services,test,Social-Services/test/6dsz-5ecj,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Harry,http://data.cityofnewyork.us/api/users/wji9-naxi,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Central Harlem-Morning Side Heights Zip Codes 2010,Social-Services/Central-Harlem-Morning-Side-Heights-Zip-Codes-2010/a55j-3iim,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Livia,http://data.cityofnewyork.us/api/users/x7i2-b4xh,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Bronx Pigeon Waste,Social-Services/Bronx-Pigeon-Waste/ceyp-2rfd,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,cpbride,http://data.cityofnewyork.us/api/users/v4c9-bc9b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,ELECTRIC,Social-Services/ELECTRIC/ndrm-ixw2,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Jacqueline,http://data.cityofnewyork.us/api/users/hcha-569t,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,Bronx 311 DOE requests and complaints,Social-Services/Bronx-311-DOE-requests-and-complaints/uw4i-28u7,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,cpbride,http://data.cityofnewyork.us/api/users/v4c9-bc9b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Business,Workforce1 Job Listing,Business/Workforce1-Job-Listing/ay9k-vznm,Department of Small Business Services (SBS),"Listing of job openings registered through Workforce1 Center. This data is up to date as of the date reflected in the ""About"" tab of this dataset.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"small business, recruitment, events, opportunities, job"
Transportation,Street Weekly Resurfacing Schedule - Manhattan,Transportation/Street-Weekly-Resurfacing-Schedule-Manhattan/9gzt-8w5q,Department of Transportation (DOT),Manhattan Milling and Paving Schedule,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"dot, street resurfacing, manhattan, weekly schedule"
Education,NYC School Survey - 2008 - District 75,Education/NYC-School-Survey-2008-District-75/bj76-nbjg,Department of Education (DOE),"Every year, all parents, all teachers, and students take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 

Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

Over 800,000 New Yorkers participated in the survey in 2008. 347,829 parents, 48,002 teachers, and 410,708 students submitted surveys and contributed feedback to their schools.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
Housing & Development,"DOF: Summary of Neighborhood Sales for Staten Island for Class 1-, 2- and 3-Family homes - 2009",Housing-Development/DOF-Summary-of-Neighborhood-Sales-for-Staten-Islan/ntbr-wib6,Department of Finance (DOF),"The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Staten Island in 2009.
Update Schedule: Annually",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"department of finance, finance, dof, property, properties, neighborhoods, sales, neighborhood sales, homes, family homes, class-1, class-2, class-3, borough, staten island"
